Epoche;Neighborhood;Total configurations;Configuration length;Steps;Total generation;Population size;Fitness;Max fitness;Success;Best step;Best generation;Rules
8;2;2000;11;20;20;1000;14190;22000;64.5;6;16;JSON data: {"neighborhood":2, "cellular_length":11, "steps":20, "data": [0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1]}
1;1;2000;11;20;20;1000;11869;22000;53.95;5;0;JSON data: {"neighborhood":1, "cellular_length":11, "steps":20, "data": [1, 1, 1, 0, 0, 1, 0, 0]}
9;2;2000;11;20;20;1000;16082;22000;73.1;3;0;JSON data: {"neighborhood":2, "cellular_length":11, "steps":20, "data": [1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1]}
2;1;2000;11;20;20;1000;11858;22000;53.9;5;18;JSON data: {"neighborhood":1, "cellular_length":11, "steps":20, "data": [0, 1, 0, 1, 1, 0, 0, 0]}
0;2;2000;11;20;20;1000;11693;22000;53.15;3;12;JSON data: {"neighborhood":2, "cellular_length":11, "steps":20, "data": [1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0]}
3;2;2000;11;20;20;1000;14575;22000;66.25;4;2;JSON data: {"neighborhood":2, "cellular_length":11, "steps":20, "data": [1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0]}
1;2;2000;11;20;20;1000;12485;22000;56.75;4;0;JSON data: {"neighborhood":2, "cellular_length":11, "steps":20, "data": [0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1]}
4;2;2000;11;20;20;1000;14245;22000;64.75;6;0;JSON data: {"neighborhood":2, "cellular_length":11, "steps":20, "data": [1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1]}
2;2;2000;11;20;20;1000;11814;22000;53.7;4;4;JSON data: {"neighborhood":2, "cellular_length":11, "steps":20, "data": [1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1]}
5;2;2000;11;20;20;1000;15422;22000;70.1;3;1;JSON data: {"neighborhood":2, "cellular_length":11, "steps":20, "data": [1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1]}
3;2;2000;11;20;20;1000;12705;22000;57.75;5;3;JSON data: {"neighborhood":2, "cellular_length":11, "steps":20, "data": [1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]}
6;2;2000;11;20;20;1000;12221;22000;55.55;1;0;JSON data: {"neighborhood":2, "cellular_length":11, "steps":20, "data": [0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]}
4;2;2000;11;20;20;1000;11781;22000;53.55;4;8;JSON data: {"neighborhood":2, "cellular_length":11, "steps":20, "data": [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0]}
7;2;2000;11;20;20;1000;11847;22000;53.85;4;7;JSON data: {"neighborhood":2, "cellular_length":11, "steps":20, "data": [1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0]}
5;2;2000;11;20;20;1000;13981;22000;63.55;4;1;JSON data: {"neighborhood":2, "cellular_length":11, "steps":20, "data": [1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]}
8;2;2000;11;20;20;1000;11803;22000;53.65;7;3;JSON data: {"neighborhood":2, "cellular_length":11, "steps":20, "data": [0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1]}
6;2;2000;11;20;20;1000;12133;22000;55.15;3;1;JSON data: {"neighborhood":2, "cellular_length":11, "steps":20, "data": [0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0]}
9;2;2000;11;20;20;1000;11935;22000;54.25;5;0;JSON data: {"neighborhood":2, "cellular_length":11, "steps":20, "data": [0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]}
7;2;2000;11;20;20;1000;12738;22000;57.9;6;0;JSON data: {"neighborhood":2, "cellular_length":11, "steps":20, "data": [1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]}
0;2;2000;11;20;20;1000;15356;22000;69.8;5;3;JSON data: {"neighborhood":2, "cellular_length":11, "steps":20, "data": [0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1]}
8;2;2000;11;20;20;1000;14036;22000;63.8;7;0;JSON data: {"neighborhood":2, "cellular_length":11, "steps":20, "data": [0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0]}
9;3;2000;11;20;20;1000;11517;22000;52.35;3;0;JSON data: {"neighborhood":3, "cellular_length":11, "steps":20, "data": [1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1]}
1;2;2000;11;20;20;1000;11935;22000;54.25;4;3;JSON data: {"neighborhood":2, "cellular_length":11, "steps":20, "data": [1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1]}
0;3;2000;11;20;20;1000;11517;22000;52.35;4;3;JSON data: {"neighborhood":3, "cellular_length":11, "steps":20, "data": [1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1]}
